Serial No,Location,Apartment_size,Bed,Bath,Price,Area
497,"Block B, Chad Uddan Housing, Mohammadpur, Dhaka",1200,3,3,16000,Mohammadpur
498,"Block K, Bashundhara R-A, Dhaka",1200,2,2,22000,Bashundhara
499,"Block D, Section 10, Mirpur, Dhaka",1250,3,3,19000,Mirpur
500,"Priyanka City, Sector 12, Uttara, Dhaka",1200,3,3,25000,Uttara
501,"Block K, Bashundhara R-A, Dhaka",1200,2,2,22000,Bashundhara
502,"Pirerbag, Mirpur, Dhaka",1250,3,3,17000,Mirpur
503,"Block H, Section 2, Mirpur, Dhaka",600,2,2,15000,Mirpur
504,"3rd Colony, Mirpur, Dhaka",500,2,1,10000,Mirpur
505,"West Rampura, Rampura, Dhaka",550,2,1,10500,Rampura
506,"Block A, Section 10, Mirpur, Dhaka",1250,3,3,20000,Mirpur
507,"Block B, Future Town, Bochila, Mohammadpur, Dhaka",1400,3,3,15000,Mohammadpur
508,"Matikata, Cantonment, Dhaka",1300,3,3,16000,Cantonment
509,"Block C, Chandrima Model Town, Mohammadpur, Dhaka",1020,3,2,10000,Mohammadpur
510,"Shyamoli, Dhaka",800,2,2,15000,Shyamoli
511,"Shantinagar, Dhaka",700,2,2,20000,Shantinagar
512,"Block B, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",800,2,2,15500,Mohammadpur
513,"Block F, Bashundhara R-A, Dhaka",2300,4,4,50000,Bashundhara
514,"Mollika R/A, Section 7, Mirpur, Dhaka",650,2,2,11000,Mirpur
515,"Cantonment, Dhaka",800,2,2,15000,Cantonment
516,"Mohammadpur, Dhaka",750,2,2,14000,Mohammadpur
517,"Block C, Banasree, Dhaka",1100,2,2,15000,Banasree
518,"Sector 11, Uttara, Dhaka",800,2,2,21000,Uttara
519,"West Rampura, Rampura, Dhaka",800,2,2,14000,Rampura
520,"East Goran, Goran, Khilgaon, Dhaka",700,2,2,10000,Khilgaon
521,"North Goran, Goran, Khilgaon, Dhaka",800,2,2,16000,Khilgaon
522,"East Goran, Goran, Khilgaon, Dhaka",700,2,2,11000,Khilgaon
523,"Block G, Banasree, Dhaka",1600,3,3,21000,Banasree
524,"East Goran, Goran, Khilgaon, Dhaka",600,2,2,9000,Khilgaon
525,"Goran, Khilgaon, Dhaka",1200,3,3,14000,Khilgaon
526,"Khilgaon, Dhaka",1150,3,2,20000,Khilgaon
527,"Block D, Bashundhara R-A, Dhaka",2800,4,5,65000,Bashundhara
528,"Baitul Aman Housing Society, Adabor, Dhaka",1440,3,3,30000,Adabor
529,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1050,3,3,14000,Dhanmondi
530,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",1050,3,3,14000,Dhanmondi
531,"Hazaribag, Dhaka",700,2,2,14000,Hazaribag
532,"Kallyanpur, Mirpur, Dhaka",1220,3,3,16000,Mirpur
533,"Kallyanpur, Mirpur, Dhaka",500,2,2,10500,Mirpur
534,"Kallyanpur, Mirpur, Dhaka",500,2,1,11000,Mirpur
535,"Manikdi, Cantonment, Dhaka",750,2,2,13000,Cantonment
536,"Mohammadpur, Dhaka",720,2,2,15000,Mohammadpur
537,"Shahjadpur, Badda, Dhaka",700,2,2,16000,Badda
538,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",800,2,2,12000,Mirpur
